algorithm,k,regione,percentuale_vaccinati,cluster
K-MEANS,5,Abruzzo,0.49131379273856723,1
K-MEANS,5,Basilicata,0.49184866475887495,1
K-MEANS,5,Calabria,0.43129622607747237,0
K-MEANS,5,Campania,0.4528137549498139,3
K-MEANS,5,Emilia-Romagna,0.4889708785124177,1
K-MEANS,5,Friuli-Venezia Giulia,0.4757518855010165,4
K-MEANS,5,Lazio,0.47364737354731756,4
K-MEANS,5,Liguria,0.530173764161597,2
K-MEANS,5,Lombardia,0.4866851503442563,1
K-MEANS,5,Marche,0.49600108165279744,1
K-MEANS,5,Molise,0.5254108117768853,2
K-MEANS,5,Piemonte,0.4882898336379443,1
K-MEANS,5,Provincia Autonoma Bolzano / Bozen,0.4805804596085926,4
K-MEANS,5,Provincia Autonoma Trento,0.45099266629340334,3
K-MEANS,5,Puglia,0.4871203491989037,1
K-MEANS,5,Sardegna,0.43013092649658213,0
K-MEANS,5,Sicilia,0.4149645642648149,0
K-MEANS,5,Toscana,0.4709057220268716,4
K-MEANS,5,Umbria,0.4814725327827443,4
K-MEANS,5,Veneto,0.4855321628050802,1
