regione,giorno,percentuale_vaccinati
Abruzzo,1 JUNE,0.49131379273856723
Basilicata,1 JUNE,0.49184866475887495
Calabria,1 JUNE,0.43129622607747237
Campania,1 JUNE,0.4528137549498139
Emilia-Romagna,1 JUNE,0.4889708785124177
Friuli-Venezia Giulia,1 JUNE,0.4757518855010165
Lazio,1 JUNE,0.47364737354731756
Liguria,1 JUNE,0.530173764161597
Lombardia,1 JUNE,0.4866851503442563
Marche,1 JUNE,0.49600108165279744
Molise,1 JUNE,0.5254108117768853
Piemonte,1 JUNE,0.4882898336379443
Provincia Autonoma Bolzano / Bozen,1 JUNE,0.4805804596085926
Provincia Autonoma Trento,1 JUNE,0.45099266629340334
Puglia,1 JUNE,0.4871203491989037
Sardegna,1 JUNE,0.43013092649658213
Sicilia,1 JUNE,0.4149645642648149
Toscana,1 JUNE,0.4709057220268716
Umbria,1 JUNE,0.4814725327827443
Veneto,1 JUNE,0.4855321628050802
