giorno,fascia_eta,regione,predizione_vaccini
1 MARCH,16-19,Lazio,6
1 MARCH,16-19,Puglia,6
1 MARCH,16-19,Veneto,5
1 MARCH,16-19,Toscana,5
1 MARCH,16-19,Sicilia,5
1 MARCH,20-29,Toscana,444
1 MARCH,20-29,Puglia,363
1 MARCH,20-29,Veneto,334
1 MARCH,20-29,Piemonte,283
1 MARCH,20-29,Lombardia,271
1 MARCH,30-39,Toscana,911
1 MARCH,30-39,Campania,564
1 MARCH,30-39,Puglia,545
1 MARCH,30-39,Piemonte,394
1 MARCH,30-39,Lombardia,387
1 MARCH,40-49,Toscana,1424
1 MARCH,40-49,Campania,1150
1 MARCH,40-49,Puglia,918
1 MARCH,40-49,Lazio,881
1 MARCH,40-49,Sicilia,678
1 MARCH,50-59,Campania,1867
1 MARCH,50-59,Lazio,1160
1 MARCH,50-59,Toscana,1068
1 MARCH,50-59,Puglia,974
1 MARCH,50-59,Sicilia,622
1 MARCH,60-69,Campania,960
1 MARCH,60-69,Puglia,441
1 MARCH,60-69,Lazio,287
1 MARCH,60-69,Toscana,236
1 MARCH,60-69,Veneto,163
1 MARCH,70-79,Lombardia,134
1 MARCH,70-79,Lazio,91
1 MARCH,70-79,Toscana,54
1 MARCH,70-79,Sardegna,54
1 MARCH,70-79,Sicilia,49
1 MARCH,80-89,Lazio,3198
1 MARCH,80-89,Lombardia,2989
1 MARCH,80-89,Emilia-Romagna,2927
1 MARCH,80-89,Campania,2616
1 MARCH,80-89,Veneto,2423
1 MARCH,90+,Emilia-Romagna,1388
1 MARCH,90+,Lombardia,1078
1 MARCH,90+,Lazio,707
1 MARCH,90+,Toscana,601
1 MARCH,90+,Piemonte,592
1 APRIL,16-19,Lombardia,29
1 APRIL,16-19,Sicilia,25
1 APRIL,16-19,Campania,22
1 APRIL,16-19,Veneto,21
1 APRIL,16-19,Lazio,20
1 APRIL,20-29,Lombardia,1233
1 APRIL,20-29,Veneto,519
1 APRIL,20-29,Lazio,291
1 APRIL,20-29,Campania,278
1 APRIL,20-29,Piemonte,255
1 APRIL,30-39,Lombardia,1906
1 APRIL,30-39,Veneto,551
1 APRIL,30-39,Lazio,536
1 APRIL,30-39,Piemonte,343
1 APRIL,30-39,Campania,323
1 APRIL,40-49,Lombardia,2620
1 APRIL,40-49,Veneto,781
1 APRIL,40-49,Lazio,615
1 APRIL,40-49,Sardegna,488
1 APRIL,40-49,Calabria,406
1 APRIL,50-59,Lombardia,3060
1 APRIL,50-59,Veneto,1154
1 APRIL,50-59,Lazio,859
1 APRIL,50-59,Liguria,641
1 APRIL,50-59,Sardegna,635
1 APRIL,60-69,Lazio,1542
1 APRIL,60-69,Lombardia,1472
1 APRIL,60-69,Veneto,1135
1 APRIL,60-69,Sicilia,968
1 APRIL,60-69,Campania,931
1 APRIL,70-79,Veneto,4261
1 APRIL,70-79,Lazio,3898
1 APRIL,70-79,Emilia-Romagna,3231
1 APRIL,70-79,Sicilia,2950
1 APRIL,70-79,Campania,2894
1 APRIL,80-89,Lombardia,11238
1 APRIL,80-89,Veneto,7134
1 APRIL,80-89,Piemonte,5467
1 APRIL,80-89,Emilia-Romagna,5162
1 APRIL,80-89,Lazio,4958
1 APRIL,90+,Lombardia,2551
1 APRIL,90+,Veneto,1744
1 APRIL,90+,Toscana,1527
1 APRIL,90+,Emilia-Romagna,1388
1 APRIL,90+,Lazio,1129
1 MAY,16-19,Lombardia,157
1 MAY,16-19,Campania,85
1 MAY,16-19,Piemonte,64
1 MAY,16-19,Sicilia,58
1 MAY,16-19,Emilia-Romagna,57
1 MAY,20-29,Lombardia,761
1 MAY,20-29,Campania,518
1 MAY,20-29,Lazio,513
1 MAY,20-29,Sicilia,443
1 MAY,20-29,Piemonte,352
1 MAY,30-39,Lombardia,857
1 MAY,30-39,Campania,705
1 MAY,30-39,Sicilia,528
1 MAY,30-39,Lazio,487
1 MAY,30-39,Emilia-Romagna,451
1 MAY,40-49,Lombardia,1518
1 MAY,40-49,Campania,1208
1 MAY,40-49,Sicilia,919
1 MAY,40-49,Emilia-Romagna,900
1 MAY,40-49,Piemonte,864
1 MAY,50-59,Lombardia,3167
1 MAY,50-59,Campania,2400
1 MAY,50-59,Sicilia,1692
1 MAY,50-59,Piemonte,1543
1 MAY,50-59,Emilia-Romagna,1448
1 MAY,60-69,Lombardia,12915
1 MAY,60-69,Campania,7136
1 MAY,60-69,Lazio,5433
1 MAY,60-69,Sicilia,4821
1 MAY,60-69,Veneto,4551
1 MAY,70-79,Lombardia,22567
1 MAY,70-79,Puglia,8304
1 MAY,70-79,Emilia-Romagna,7033
1 MAY,70-79,Lazio,6955
1 MAY,70-79,Veneto,6513
1 MAY,80-89,Lombardia,7192
1 MAY,80-89,Toscana,5474
1 MAY,80-89,Veneto,3367
1 MAY,80-89,Lazio,3317
1 MAY,80-89,Emilia-Romagna,3206
1 MAY,90+,Veneto,1420
1 MAY,90+,Lombardia,1271
1 MAY,90+,Lazio,963
1 MAY,90+,Sicilia,681
1 MAY,90+,Puglia,655
1 JUNE,16-19,Lombardia,614
1 JUNE,16-19,Sicilia,393
1 JUNE,16-19,Campania,292
1 JUNE,16-19,Piemonte,97
1 JUNE,16-19,Emilia-Romagna,89
1 JUNE,20-29,Lombardia,3008
1 JUNE,20-29,Campania,2299
1 JUNE,20-29,Sicilia,1332
1 JUNE,20-29,Emilia-Romagna,884
1 JUNE,20-29,Lazio,808
1 JUNE,30-39,Lombardia,3423
1 JUNE,30-39,Campania,2861
1 JUNE,30-39,Lazio,2195
1 JUNE,30-39,Sicilia,1608
1 JUNE,30-39,Emilia-Romagna,1363
1 JUNE,40-49,Campania,7508
1 JUNE,40-49,Lombardia,6181
1 JUNE,40-49,Sicilia,5853
1 JUNE,40-49,Lazio,4843
1 JUNE,40-49,Emilia-Romagna,2590
1 JUNE,50-59,Lombardia,15091
1 JUNE,50-59,Lazio,11513
1 JUNE,50-59,Campania,10084
1 JUNE,50-59,Puglia,7454
1 JUNE,50-59,Veneto,7092
1 JUNE,60-69,Lombardia,9450
1 JUNE,60-69,Toscana,8159
1 JUNE,60-69,Emilia-Romagna,6996
1 JUNE,60-69,Lazio,6860
1 JUNE,60-69,Piemonte,6662
1 JUNE,70-79,Lombardia,5798
1 JUNE,70-79,Sicilia,2594
1 JUNE,70-79,Veneto,2526
1 JUNE,70-79,Toscana,2168
1 JUNE,70-79,Piemonte,1955
1 JUNE,80-89,Sicilia,903
1 JUNE,80-89,Campania,597
1 JUNE,80-89,Umbria,276
