modello,k,regione,percentuale_vaccinati,cluster
K-MEANS-BISECTING,4,Abruzzo,0.6400374711341553,0
K-MEANS-BISECTING,4,Basilicata,0.6275423272258432,0
K-MEANS-BISECTING,4,Calabria,0.5821333015218392,1
K-MEANS-BISECTING,4,Campania,0.6100669060078078,2
K-MEANS-BISECTING,4,Emilia-Romagna,0.6124717104681558,2
K-MEANS-BISECTING,4,Friuli-Venezia Giulia,0.637744389377962,0
K-MEANS-BISECTING,4,Lazio,0.61173847135958,2
K-MEANS-BISECTING,4,Liguria,0.6547653504922821,3
K-MEANS-BISECTING,4,Lombardia,0.6279122126314539,0
K-MEANS-BISECTING,4,Marche,0.6255010303675355,0
K-MEANS-BISECTING,4,Molise,0.6685820460163144,3
K-MEANS-BISECTING,4,Piemonte,0.6106091205440407,2
K-MEANS-BISECTING,4,Provincia Autonoma Bolzano / Bozen,0.6152234806966265,2
K-MEANS-BISECTING,4,Provincia Autonoma Trento,0.5647614939099946,1
K-MEANS-BISECTING,4,Puglia,0.6246020110870295,0
K-MEANS-BISECTING,4,Sardegna,0.5850884575075475,1
K-MEANS-BISECTING,4,Sicilia,0.5538600864802156,1
K-MEANS-BISECTING,4,Toscana,0.6049587101280064,2
K-MEANS-BISECTING,4,Umbria,0.6267420258423861,0
K-MEANS-BISECTING,4,Valle d'Aosta / Vallée d'Aoste,0.6227289236853788,0
K-MEANS-BISECTING,4,Veneto,0.5977275823176443,2
