modello,k,regione,percentuale_vaccinati,cluster
K-MEANS,2,Abruzzo,0.6240554410950037,0
K-MEANS,2,Basilicata,0.6051948668593938,0
K-MEANS,2,Calabria,0.5712403500400484,1
K-MEANS,2,Campania,0.5954485040650492,0
K-MEANS,2,Emilia-Romagna,0.6052926196517011,0
K-MEANS,2,Friuli-Venezia Giulia,0.6227763350748653,0
K-MEANS,2,Lazio,0.5962082898953223,0
K-MEANS,2,Liguria,0.6387745437324688,0
K-MEANS,2,Lombardia,0.6122205174841115,0
K-MEANS,2,Marche,0.6094653944369478,0
K-MEANS,2,Molise,0.6511480473584288,0
K-MEANS,2,Piemonte,0.5977693583980193,0
K-MEANS,2,Provincia Autonoma Bolzano / Bozen,0.6061156235069278,0
K-MEANS,2,Provincia Autonoma Trento,0.5537747019247538,1
K-MEANS,2,Puglia,0.6102536560993814,0
K-MEANS,2,Sardegna,0.5728542601949037,1
K-MEANS,2,Sicilia,0.5387801711921562,1
K-MEANS,2,Toscana,0.5906350377678362,0
K-MEANS,2,Umbria,0.6172855205644309,0
K-MEANS,2,Valle d'Aosta / Vallée d'Aoste,0.6058275152346745,0
K-MEANS,2,Veneto,0.5886861758372518,0
