modello,k,regione,percentuale_vaccinati,cluster
K-MEANS-BISECTING,5,Abruzzo,0.6400374711341553,3
K-MEANS-BISECTING,5,Basilicata,0.6275423272258432,3
K-MEANS-BISECTING,5,Calabria,0.5821333015218392,4
K-MEANS-BISECTING,5,Campania,0.6100669060078078,1
K-MEANS-BISECTING,5,Emilia-Romagna,0.6124717104681558,1
K-MEANS-BISECTING,5,Friuli-Venezia Giulia,0.637744389377962,3
K-MEANS-BISECTING,5,Lazio,0.61173847135958,1
K-MEANS-BISECTING,5,Liguria,0.6547653504922821,2
K-MEANS-BISECTING,5,Lombardia,0.6279122126314539,3
K-MEANS-BISECTING,5,Marche,0.6255010303675355,3
K-MEANS-BISECTING,5,Molise,0.6685820460163144,2
K-MEANS-BISECTING,5,Piemonte,0.6106091205440407,1
K-MEANS-BISECTING,5,Provincia Autonoma Bolzano / Bozen,0.6152234806966265,1
K-MEANS-BISECTING,5,Provincia Autonoma Trento,0.5647614939099946,0
K-MEANS-BISECTING,5,Puglia,0.6246020110870295,3
K-MEANS-BISECTING,5,Sardegna,0.5850884575075475,4
K-MEANS-BISECTING,5,Sicilia,0.5538600864802156,0
K-MEANS-BISECTING,5,Toscana,0.6049587101280064,1
K-MEANS-BISECTING,5,Umbria,0.6267420258423861,3
K-MEANS-BISECTING,5,Valle d'Aosta / Vallée d'Aoste,0.6227289236853788,3
K-MEANS-BISECTING,5,Veneto,0.5977275823176443,1
