modello,k,regione,percentuale_vaccinati,cluster
K-MEANS,4,Abruzzo,0.6240554410950037,0
K-MEANS,4,Basilicata,0.6051948668593938,3
K-MEANS,4,Calabria,0.5712403500400484,1
K-MEANS,4,Campania,0.5954485040650492,1
K-MEANS,4,Emilia-Romagna,0.6052926196517011,3
K-MEANS,4,Friuli-Venezia Giulia,0.6227763350748653,0
K-MEANS,4,Lazio,0.5962082898953223,1
K-MEANS,4,Liguria,0.6387745437324688,0
K-MEANS,4,Lombardia,0.6122205174841115,3
K-MEANS,4,Marche,0.6094653944369478,3
K-MEANS,4,Molise,0.6511480473584288,0
K-MEANS,4,Piemonte,0.5977693583980193,3
K-MEANS,4,Provincia Autonoma Bolzano / Bozen,0.6061156235069278,3
K-MEANS,4,Provincia Autonoma Trento,0.5537747019247538,2
K-MEANS,4,Puglia,0.6102536560993814,3
K-MEANS,4,Sardegna,0.5728542601949037,1
K-MEANS,4,Sicilia,0.5387801711921562,2
K-MEANS,4,Toscana,0.5906350377678362,1
K-MEANS,4,Umbria,0.6172855205644309,3
K-MEANS,4,Valle d'Aosta / Vallée d'Aoste,0.6058275152346745,3
K-MEANS,4,Veneto,0.5886861758372518,1
