mese,regione,numero_medio_vaccini
JANUARY,Abruzzo,16
JANUARY,Basilicata,17
JANUARY,Calabria,12
JANUARY,Campania,104
JANUARY,Emilia-Romagna,40
JANUARY,Friuli-Venezia Giulia,25
JANUARY,Lazio,33
JANUARY,Liguria,11
JANUARY,Lombardia,85
JANUARY,Marche,23
JANUARY,Molise,39
JANUARY,Piemonte,26
JANUARY,Provincia Autonoma Bolzano / Bozen,23
JANUARY,Provincia Autonoma Trento,36
JANUARY,Puglia,5
JANUARY,Sardegna,14
JANUARY,Sicilia,28
JANUARY,Toscana,18
JANUARY,Umbria,13
JANUARY,Valle d'Aosta / Vallée d'Aoste,26
JANUARY,Veneto,26
FEBRUARY,Abruzzo,33
FEBRUARY,Basilicata,32
FEBRUARY,Calabria,19
FEBRUARY,Campania,142
FEBRUARY,Emilia-Romagna,42
FEBRUARY,Friuli-Venezia Giulia,35
FEBRUARY,Lazio,46
FEBRUARY,Liguria,14
FEBRUARY,Lombardia,115
FEBRUARY,Marche,35
FEBRUARY,Molise,55
FEBRUARY,Piemonte,34
FEBRUARY,Provincia Autonoma Bolzano / Bozen,30
FEBRUARY,Provincia Autonoma Trento,52
FEBRUARY,Puglia,8
FEBRUARY,Sardegna,17
FEBRUARY,Sicilia,32
FEBRUARY,Toscana,30
FEBRUARY,Umbria,15
FEBRUARY,Valle d'Aosta / Vallée d'Aoste,36
FEBRUARY,Veneto,27
MARCH,Abruzzo,79
MARCH,Basilicata,54
MARCH,Calabria,50
MARCH,Campania,275
MARCH,Emilia-Romagna,104
MARCH,Friuli-Venezia Giulia,64
MARCH,Lazio,111
MARCH,Liguria,36
MARCH,Lombardia,260
MARCH,Marche,92
MARCH,Molise,176
MARCH,Piemonte,62
MARCH,Provincia Autonoma Bolzano / Bozen,37
MARCH,Provincia Autonoma Trento,109
MARCH,Puglia,18
MARCH,Sardegna,54
MARCH,Sicilia,79
MARCH,Toscana,57
MARCH,Umbria,58
MARCH,Valle d'Aosta / Vallée d'Aoste,48
MARCH,Veneto,88
APRIL,Abruzzo,124
APRIL,Basilicata,94
APRIL,Calabria,84
APRIL,Campania,531
APRIL,Emilia-Romagna,161
APRIL,Friuli-Venezia Giulia,99
APRIL,Lazio,157
APRIL,Liguria,68
APRIL,Lombardia,492
APRIL,Marche,162
APRIL,Molise,218
APRIL,Piemonte,112
APRIL,Provincia Autonoma Bolzano / Bozen,68
APRIL,Provincia Autonoma Trento,171
APRIL,Puglia,36
APRIL,Sardegna,96
APRIL,Sicilia,113
APRIL,Toscana,96
APRIL,Umbria,97
APRIL,Valle d'Aosta / Vallée d'Aoste,105
APRIL,Veneto,121
MAY,Abruzzo,193
MAY,Basilicata,147
MAY,Calabria,149
MAY,Campania,972
MAY,Emilia-Romagna,204
MAY,Friuli-Venezia Giulia,165
MAY,Lazio,255
MAY,Liguria,69
MAY,Lombardia,726
MAY,Marche,197
MAY,Molise,291
MAY,Piemonte,143
MAY,Provincia Autonoma Bolzano / Bozen,103
MAY,Provincia Autonoma Trento,238
MAY,Puglia,54
MAY,Sardegna,135
MAY,Sicilia,200
MAY,Toscana,134
MAY,Umbria,129
MAY,Valle d'Aosta / Vallée d'Aoste,132
MAY,Veneto,175
