algorithm,k,regione,percentuale_vaccinati,cluster
K-MEANS-BISECTING,5,Abruzzo,0.6239737453083277,2
K-MEANS-BISECTING,5,Basilicata,0.6053446169411172,0
K-MEANS-BISECTING,5,Calabria,0.5713947920039537,4
K-MEANS-BISECTING,5,Campania,0.593620961734468,4
K-MEANS-BISECTING,5,Emilia-Romagna,0.5992011335382874,0
K-MEANS-BISECTING,5,Friuli-Venezia Giulia,0.6216518331966635,2
K-MEANS-BISECTING,5,Lazio,0.5957592265132334,4
K-MEANS-BISECTING,5,Liguria,0.6384506608469306,2
K-MEANS-BISECTING,5,Lombardia,0.6120424296517947,0
K-MEANS-BISECTING,5,Marche,0.6094034524971926,0
K-MEANS-BISECTING,5,Molise,0.6510333943691894,2
K-MEANS-BISECTING,5,Piemonte,0.5973184093456675,4
K-MEANS-BISECTING,5,Provincia Autonoma Bolzano / Bozen,0.6057071658094676,0
K-MEANS-BISECTING,5,Provincia Autonoma Trento,0.5518435231163205,1
K-MEANS-BISECTING,5,Puglia,0.6084914657273072,0
K-MEANS-BISECTING,5,Sardegna,0.5725626867305917,4
K-MEANS-BISECTING,5,Sicilia,0.5385000566013258,3
K-MEANS-BISECTING,5,Toscana,0.5901642517186962,4
K-MEANS-BISECTING,5,Umbria,0.6171040204020055,0
K-MEANS-BISECTING,5,Valle d'Aosta / Vallée d'Aoste,0.6058113725331934,0
K-MEANS-BISECTING,5,Veneto,0.5875152216827242,4
