algorithm,k,regione,percentuale_vaccinati,cluster
K-MEANS,5,Abruzzo,0.6239737453083277,0
K-MEANS,5,Basilicata,0.6053446169411172,0
K-MEANS,5,Calabria,0.5713947920039537,2
K-MEANS,5,Campania,0.593620961734468,2
K-MEANS,5,Emilia-Romagna,0.5992011335382874,2
K-MEANS,5,Friuli-Venezia Giulia,0.6216518331966635,0
K-MEANS,5,Lazio,0.5957592265132334,2
K-MEANS,5,Liguria,0.6384506608469306,3
K-MEANS,5,Lombardia,0.6120424296517947,0
K-MEANS,5,Marche,0.6094034524971926,0
K-MEANS,5,Molise,0.6510333943691894,3
K-MEANS,5,Piemonte,0.5973184093456675,2
K-MEANS,5,Provincia Autonoma Bolzano / Bozen,0.6057071658094676,0
K-MEANS,5,Provincia Autonoma Trento,0.5518435231163205,1
K-MEANS,5,Puglia,0.6084914657273072,0
K-MEANS,5,Sardegna,0.5725626867305917,2
K-MEANS,5,Sicilia,0.5385000566013258,4
K-MEANS,5,Toscana,0.5901642517186962,2
K-MEANS,5,Umbria,0.6171040204020055,0
K-MEANS,5,Valle d'Aosta / Vallée d'Aoste,0.6058113725331934,0
K-MEANS,5,Veneto,0.5875152216827242,2
