algorithm,k,regione,percentuale_vaccinati,cluster
K-MEANS,2,Abruzzo,0.6375235750698693,1
K-MEANS,2,Basilicata,0.6240925966846793,0
K-MEANS,2,Calabria,0.5797511673682237,0
K-MEANS,2,Campania,0.6075516584418459,0
K-MEANS,2,Emilia-Romagna,0.6109384915113971,0
K-MEANS,2,Friuli-Venezia Giulia,0.6342190593057953,1
K-MEANS,2,Lazio,0.6104720392057329,0
K-MEANS,2,Liguria,0.6532803905140068,1
K-MEANS,2,Lombardia,0.6258462934454045,0
K-MEANS,2,Marche,0.6230952853525296,0
K-MEANS,2,Molise,0.6674051668032386,1
K-MEANS,2,Piemonte,0.6097444310015188,0
K-MEANS,2,Provincia Autonoma Bolzano / Bozen,0.6140224651733603,0
K-MEANS,2,Provincia Autonoma Trento,0.5640877841926039,0
K-MEANS,2,Puglia,0.6220486176100369,0
K-MEANS,2,Sardegna,0.5833509049101346,0
K-MEANS,2,Sicilia,0.5518439224636202,0
K-MEANS,2,Toscana,0.6019289960862332,0
K-MEANS,2,Umbria,0.625551292292717,0
K-MEANS,2,Valle d'Aosta / Vallée d'Aoste,0.6188304612776948,0
K-MEANS,2,Veneto,0.5966563715300283,0
