algorithm,k,regione,percentuale_vaccinati,cluster
K-MEANS,2,Abruzzo,0.6239737453083277,1
K-MEANS,2,Basilicata,0.6053446169411172,1
K-MEANS,2,Calabria,0.5713947920039537,0
K-MEANS,2,Campania,0.593620961734468,1
K-MEANS,2,Emilia-Romagna,0.5992011335382874,1
K-MEANS,2,Friuli-Venezia Giulia,0.6216518331966635,1
K-MEANS,2,Lazio,0.5957592265132334,1
K-MEANS,2,Liguria,0.6384506608469306,1
K-MEANS,2,Lombardia,0.6120424296517947,1
K-MEANS,2,Marche,0.6094034524971926,1
K-MEANS,2,Molise,0.6510333943691894,1
K-MEANS,2,Piemonte,0.5973184093456675,1
K-MEANS,2,Provincia Autonoma Bolzano / Bozen,0.6057071658094676,1
K-MEANS,2,Provincia Autonoma Trento,0.5518435231163205,0
K-MEANS,2,Puglia,0.6084914657273072,1
K-MEANS,2,Sardegna,0.5725626867305917,0
K-MEANS,2,Sicilia,0.5385000566013258,0
K-MEANS,2,Toscana,0.5901642517186962,1
K-MEANS,2,Umbria,0.6171040204020055,1
K-MEANS,2,Valle d'Aosta / Vallée d'Aoste,0.6058113725331934,1
K-MEANS,2,Veneto,0.5875152216827242,1
