regione,giorno,percentuale_vaccinati
Abruzzo,1 JUNE,0.6239737453083277
Basilicata,1 JUNE,0.6053446169411172
Calabria,1 JUNE,0.5713947920039537
Campania,1 JUNE,0.593620961734468
Emilia-Romagna,1 JUNE,0.5992011335382874
Friuli-Venezia Giulia,1 JUNE,0.6216518331966635
Lazio,1 JUNE,0.5957592265132334
Liguria,1 JUNE,0.6384506608469306
Lombardia,1 JUNE,0.6120424296517947
Marche,1 JUNE,0.6094034524971926
Molise,1 JUNE,0.6510333943691894
Piemonte,1 JUNE,0.5973184093456675
Provincia Autonoma Bolzano / Bozen,1 JUNE,0.6057071658094676
Provincia Autonoma Trento,1 JUNE,0.5518435231163205
Puglia,1 JUNE,0.6084914657273072
Sardegna,1 JUNE,0.5725626867305917
Sicilia,1 JUNE,0.5385000566013258
Toscana,1 JUNE,0.5901642517186962
Umbria,1 JUNE,0.6171040204020055
Valle d'Aosta / Vallée d'Aoste,1 JUNE,0.6058113725331934
Veneto,1 JUNE,0.5875152216827242
