regione,giorno,percentuale_vaccinati
Abruzzo,1 JUNE,0.6400374711341553
Basilicata,1 JUNE,0.6275423272258432
Calabria,1 JUNE,0.5821333015218392
Campania,1 JUNE,0.6100669060078078
Emilia-Romagna,1 JUNE,0.6124717104681558
Friuli-Venezia Giulia,1 JUNE,0.637744389377962
Lazio,1 JUNE,0.61173847135958
Liguria,1 JUNE,0.6547653504922821
Lombardia,1 JUNE,0.6279122126314539
Marche,1 JUNE,0.6255010303675355
Molise,1 JUNE,0.6685820460163144
Piemonte,1 JUNE,0.6106091205440407
Provincia Autonoma Bolzano / Bozen,1 JUNE,0.6152234806966265
Provincia Autonoma Trento,1 JUNE,0.5647614939099946
Puglia,1 JUNE,0.6246020110870295
Sardegna,1 JUNE,0.5850884575075475
Sicilia,1 JUNE,0.5538600864802156
Toscana,1 JUNE,0.6049587101280064
Umbria,1 JUNE,0.6267420258423861
Valle d'Aosta / Vallée d'Aoste,1 JUNE,0.6227289236853788
Veneto,1 JUNE,0.5977275823176443
